"id"	"housing_median_age"	"population"	"households"	"median_income"	"median_house_value"
"34"	"37.0"	"1534.0"	"567.0"	"5.8596"	"318700.0"
"35"	"15.0"	"419.0"	"170.0"	"3.5469"	"82500.0"
"36"	"47.0"	"810.0"	"244.0"	"2.7787"	"56000.0"
"37"	"16.0"	"1201.0"	"429.0"	"4.7941"	"247600.0"
"38"	"16.0"	"202.0"	"102.0"	"3.15"	"140600.0"
"39"	"16.0"	"1777.0"	"615.0"	"3.0"	"122600.0"
"40"	"10.0"	"1398.0"	"763.0"	"2.569"	"113000.0"
"41"	"33.0"	"1397.0"	"477.0"	"3.1083"	"285500.0"
"42"	"19.0"	"1355.0"	"463.0"	"2.0625"	"94400.0"
"43"	"22.0"	"6666.0"	"1456.0"	"2.9334"	"182600.0"
"44"	"25.0"	"1524.0"	"764.0"	"3.8086"	"361300.0"
"45"	"42.0"	"864.0"	"381.0"	"4.1189"	"172400.0"
"46"	"23.0"	"1227.0"	"264.0"	"4.1713"	"133800.0"
"47"	"23.0"	"263.0"	"191.0"	"3.12"	"155000.0"
"48"	"52.0"	"1391.0"	"540.0"	"7.8647"	"500001.0"
"49"	"32.0"	"1728.0"	"375.0"	"3.975"	"162400.0"
"50"	"26.0"	"2654.0"	"535.0"	"2.2989"	"60600.0"
"51"	"26.0"	"2332.0"	"725.0"	"3.7772"	"223900.0"
"52"	"23.0"	"1729.0"	"529.0"	"5.9941"	"266700.0"
"53"	"10.0"	"923.0"	"486.0"	"1.8"	"81000.0"
"54"	"37.0"	"2484.0"	"630.0"	"1.9208"	"103400.0"
"55"	"24.0"	"3003.0"	"1014.0"	"3.6771"	"172200.0"
"56"	"5.0"	"6686.0"	"1911.0"	"4.1953"	"136600.0"
"57"	"27.0"	"1768.0"	"528.0"	"1.2446"	"103800.0"
"58"	"29.0"	"1426.0"	"502.0"	"3.0263"	"194200.0"
"59"	"32.0"	"712.0"	"249.0"	"3.25"	"107500.0"
"60"	"31.0"	"796.0"	"319.0"	"4.4427"	"204500.0"
"61"	"34.0"	"757.0"	"231.0"	"5.7528"	"180500.0"
"62"	"26.0"	"253.0"	"137.0"	"2.4196"	"275000.0"
"63"	"19.0"	"1291.0"	"418.0"	"4.2308"	"416100.0"
"64"	"35.0"	"919.0"	"297.0"	"4.7583"	"258600.0"
"65"	"37.0"	"1038.0"	"282.0"	"4.1652"	"158200.0"
"66"	"28.0"	"1066.0"	"442.0"	"4.2059"	"500001.0"
"67"	"26.0"	"3596.0"	"967.0"	"3.045"	"184000.0"
"68"	"20.0"	"3221.0"	"1334.0"	"4.2042"	"166400.0"
"69"	"14.0"	"1236.0"	"404.0"	"4.8667"	"239900.0"
"70"	"16.0"	"5014.0"	"2116.0"	"3.512"	"218400.0"
"71"	"47.0"	"757.0"	"310.0"	"3.6875"	"422000.0"
"72"	"52.0"	"779.0"	"424.0"	"3.1607"	"339000.0"
"73"	"20.0"	"1870.0"	"578.0"	"2.3664"	"192200.0"
"74"	"36.0"	"1835.0"	"410.0"	"2.48"	"138900.0"
"75"	"33.0"	"758.0"	"246.0"	"4.0341"	"156500.0"
"76"	"32.0"	"1509.0"	"590.0"	"3.1795"	"125600.0"
"77"	"26.0"	"1326.0"	"341.0"	"4.2679"	"131900.0"
"78"	"52.0"	"1034.0"	"521.0"	"5.3509"	"302100.0"
"79"	"15.0"	"2855.0"	"867.0"	"3.3654"	"222100.0"
"80"	"20.0"	"308.0"	"132.0"	"3.1429"	"240900.0"
"81"	"39.0"	"316.0"	"52.0"	"0.716"	"104200.0"
"82"	"36.0"	"838.0"	"259.0"	"1.2024"	"90200.0"
"83"	"7.0"	"1978.0"	"682.0"	"4.8311"	"172200.0"
"84"	"38.0"	"518.0"	"195.0"	"7.5582"	"263700.0"
"85"	"21.0"	"142.0"	"45.0"	"5.2681"	"500001.0"
"86"	"25.0"	"1054.0"	"578.0"	"3.6375"	"262500.0"
"87"	"19.0"	"493.0"	"184.0"	"2.2917"	"118200.0"
"88"	"25.0"	"1713.0"	"508.0"	"5.5181"	"242100.0"
"89"	"32.0"	"874.0"	"236.0"	"1.9612"	"53400.0"
"90"	"44.0"	"1277.0"	"435.0"	"1.5539"	"59200.0"
"91"	"26.0"	"2089.0"	"540.0"	"5.1615"	"276200.0"
"92"	"17.0"	"2536.0"	"971.0"	"3.2649"	"202100.0"
"93"	"16.0"	"2007.0"	"383.0"	"5.756"	"302700.0"
"94"	"47.0"	"1003.0"	"280.0"	"1.7802"	"97800.0"
"95"	"23.0"	"1279.0"	"289.0"	"4.6467"	"185100.0"
"96"	"29.0"	"823.0"	"490.0"	"1.9688"	"135600.0"
"97"	"32.0"	"1524.0"	"614.0"	"6.0677"	"321600.0"
"98"	"36.0"	"335.0"	"140.0"	"4.125"	"327600.0"
"99"	"26.0"	"3086.0"	"1183.0"	"2.5399"	"94800.0"
"100"	"52.0"	"481.0"	"215.0"	"5.454"	"240900.0"
"101"	"45.0"	"791.0"	"335.0"	"3.4605"	"186600.0"
"102"	"17.0"	"2630.0"	"843.0"	"5.0524"	"285400.0"
"103"	"18.0"	"1784.0"	"725.0"	"6.7042"	"413000.0"
"104"	"30.0"	"2595.0"	"819.0"	"2.0044"	"212500.0"
"105"	"27.0"	"1386.0"	"608.0"	"2.9087"	"228200.0"
"106"	"34.0"	"541.0"	"180.0"	"4.5147"	"271400.0"
"107"	"38.0"	"1359.0"	"289.0"	"2.5147"	"137100.0"
"108"	"32.0"	"761.0"	"241.0"	"2.825"	"67600.0"
"109"	"35.0"	"721.0"	"287.0"	"4.125"	"120700.0"
"110"	"18.0"	"980.0"	"503.0"	"3.5506"	"187500.0"
"111"	"28.0"	"349.0"	"210.0"	"3.067"	"375000.0"
"112"	"42.0"	"578.0"	"243.0"	"4.0114"	"166900.0"
"113"	"36.0"	"1476.0"	"475.0"	"3.9549"	"192100.0"
"114"	"16.0"	"1575.0"	"488.0"	"6.0961"	"295500.0"
"115"	"47.0"	"1628.0"	"325.0"	"1.5089"	"115800.0"
"116"	"18.0"	"2386.0"	"867.0"	"2.5938"	"129500.0"
"117"	"37.0"	"771.0"	"327.0"	"6.2551"	"500001.0"
"118"	"24.0"	"2225.0"	"864.0"	"2.8068"	"95300.0"
"119"	"46.0"	"752.0"	"323.0"	"1.8529"	"67200.0"
"120"	"6.0"	"1705.0"	"608.0"	"4.9318"	"258100.0"
"121"	"37.0"	"879.0"	"257.0"	"2.5234"	"63500.0"
"122"	"42.0"	"2500.0"	"813.0"	"1.5195"	"218200.0"
"123"	"17.0"	"3934.0"	"1238.0"	"5.1228"	"237600.0"
"124"	"13.0"	"2074.0"	"737.0"	"4.9528"	"266200.0"
"125"	"20.0"	"1945.0"	"609.0"	"8.7471"	"419900.0"
"126"	"37.0"	"1677.0"	"522.0"	"2.9388"	"139200.0"
"127"	"18.0"	"1149.0"	"268.0"	"5.0827"	"142200.0"
"128"	"29.0"	"1849.0"	"470.0"	"4.4732"	"194800.0"
"129"	"27.0"	"1987.0"	"449.0"	"3.0429"	"129600.0"
"130"	"36.0"	"1366.0"	"421.0"	"4.1"	"243100.0"
"131"	"36.0"	"678.0"	"249.0"	"5.5789"	"292000.0"
"132"	"12.0"	"1043.0"	"243.0"	"1.4038"	"54300.0"
"133"	"47.0"	"949.0"	"325.0"	"1.7344"	"51300.0"
"134"	"33.0"	"608.0"	"260.0"	"4.3438"	"115000.0"
"135"	"35.0"	"1044.0"	"433.0"	"5.5456"	"297400.0"
"136"	"35.0"	"1587.0"	"406.0"	"1.4917"	"93200.0"
"137"	"33.0"	"884.0"	"229.0"	"2.7574"	"125000.0"
"138"	"22.0"	"2607.0"	"1250.0"	"2.5238"	"118800.0"
"139"	"6.0"	"43.0"	"17.0"	"3.475"	"187500.0"
"140"	"14.0"	"693.0"	"237.0"	"3.2569"	"230800.0"
"141"	"32.0"	"693.0"	"228.0"	"3.3594"	"202100.0"
"142"	"14.0"	"2228.0"	"950.0"	"4.023"	"208400.0"
"143"	"46.0"	"150.0"	"55.0"	"2.2321"	"237500.0"
"144"	"33.0"	"1780.0"	"663.0"	"4.3429"	"214300.0"
"145"	"13.0"	"567.0"	"228.0"	"4.4063"	"152600.0"
"146"	"34.0"	"1518.0"	"627.0"	"4.0833"	"118500.0"
"147"	"24.0"	"1623.0"	"611.0"	"3.0708"	"188700.0"
"148"	"10.0"	"1992.0"	"693.0"	"4.1591"	"192300.0"
"149"	"30.0"	"2650.0"	"605.0"	"2.0357"	"169900.0"
"150"	"25.0"	"1247.0"	"522.0"	"2.9016"	"159800.0"
"151"	"33.0"	"598.0"	"192.0"	"1.0217"	"81300.0"
"152"	"35.0"	"391.0"	"167.0"	"3.7778"	"487500.0"
"153"	"22.0"	"1168.0"	"442.0"	"2.83"	"88700.0"
"154"	"20.0"	"2271.0"	"1021.0"	"4.8836"	"396200.0"
"155"	"13.0"	"616.0"	"443.0"	"0.8185"	"187500.0"
"156"	"36.0"	"2862.0"	"181.0"	"2.1845"	"123800.0"
"157"	"45.0"	"785.0"	"316.0"	"3.7411"	"235500.0"
"158"	"24.0"	"465.0"	"236.0"	"3.0625"	"93800.0"
"159"	"42.0"	"2118.0"	"754.0"	"3.6364"	"254600.0"
"160"	"18.0"	"1442.0"	"449.0"	"5.0201"	"154400.0"
"161"	"52.0"	"1246.0"	"576.0"	"1.6006"	"146200.0"
"162"	"26.0"	"628.0"	"445.0"	"2.3304"	"500001.0"
"163"	"35.0"	"911.0"	"293.0"	"3.4398"	"134300.0"
"164"	"21.0"	"1985.0"	"917.0"	"2.9085"	"156300.0"
"165"	"20.0"	"331.0"	"135.0"	"7.1837"	"176300.0"
"166"	"43.0"	"658.0"	"244.0"	"3.2386"	"185000.0"
"167"	"17.0"	"2095.0"	"580.0"	"7.6709"	"319500.0"
"168"	"26.0"	"1714.0"	"581.0"	"9.2873"	"431800.0"
"169"	"14.0"	"1271.0"	"438.0"	"3.9762"	"138500.0"
"170"	"31.0"	"1359.0"	"547.0"	"5.1718"	"429100.0"
"171"	"30.0"	"1496.0"	"391.0"	"3.6546"	"186200.0"
"172"	"37.0"	"462.0"	"184.0"	"3.625"	"156300.0"
"173"	"29.0"	"794.0"	"270.0"	"5.5191"	"245800.0"
"174"	"13.0"	"1385.0"	"512.0"	"2.2202"	"100000.0"
"175"	"8.0"	"1243.0"	"394.0"	"4.0614"	"107000.0"
"176"	"23.0"	"1338.0"	"406.0"	"5.5224"	"240700.0"
"177"	"36.0"	"1125.0"	"520.0"	"4.2614"	"268800.0"
"178"	"23.0"	"1061.0"	"313.0"	"2.8864"	"103100.0"
"179"	"26.0"	"1096.0"	"428.0"	"6.0738"	"335900.0"
"180"	"32.0"	"1623.0"	"750.0"	"3.6141"	"290600.0"
"181"	"15.0"	"2513.0"	"832.0"	"2.6949"	"163600.0"
"182"	"27.0"	"1272.0"	"415.0"	"3.0208"	"112700.0"
"183"	"22.0"	"2412.0"	"496.0"	"4.7337"	"127600.0"
"184"	"21.0"	"583.0"	"205.0"	"6.0132"	"150800.0"
"185"	"21.0"	"1919.0"	"977.0"	"2.5057"	"156300.0"
"186"	"37.0"	"1640.0"	"447.0"	"1.9348"	"99100.0"
"187"	"31.0"	"1198.0"	"274.0"	"2.1333"	"160200.0"
"188"	"23.0"	"2051.0"	"1130.0"	"2.1292"	"135000.0"
"189"	"29.0"	"308.0"	"115.0"	"2.6563"	"103100.0"
"190"	"23.0"	"1455.0"	"649.0"	"4.1898"	"359100.0"
"191"	"37.0"	"878.0"	"287.0"	"4.2262"	"228500.0"
"192"	"7.0"	"2863.0"	"1197.0"	"4.849"	"275000.0"
"193"	"43.0"	"565.0"	"309.0"	"4.8482"	"500001.0"
"194"	"6.0"	"957.0"	"274.0"	"7.2708"	"316700.0"
"195"	"14.0"	"4723.0"	"1907.0"	"4.0393"	"156800.0"
"196"	"29.0"	"855.0"	"315.0"	"3.4183"	"104100.0"
"197"	"17.0"	"662.0"	"443.0"	"3.5625"	"180800.0"
"198"	"32.0"	"1558.0"	"528.0"	"9.4667"	"500001.0"
"199"	"26.0"	"1745.0"	"789.0"	"3.4269"	"301900.0"
"200"	"4.0"	"933.0"	"316.0"	"4.2448"	"150900.0"
"201"	"2.0"	"1044.0"	"522.0"	"4.2361"	"158500.0"
"202"	"37.0"	"689.0"	"261.0"	"5.5284"	"331000.0"
"203"	"35.0"	"1614.0"	"566.0"	"4.9022"	"169300.0"
"204"	"18.0"	"543.0"	"201.0"	"2.5156"	"71900.0"
"205"	"29.0"	"965.0"	"370.0"	"3.3558"	"199600.0"
"206"	"13.0"	"2566.0"	"728.0"	"3.0147"	"142800.0"
"207"	"13.0"	"4870.0"	"1797.0"	"3.406"	"100700.0"
"208"	"11.0"	"3422.0"	"1299.0"	"2.3343"	"97800.0"
"209"	"29.0"	"679.0"	"278.0"	"7.5337"	"406800.0"
"210"	"52.0"	"106.0"	"49.0"	"2.0455"	"72500.0"
"211"	"32.0"	"2590.0"	"721.0"	"3.3462"	"67600.0"
"212"	"18.0"	"1567.0"	"617.0"	"2.2717"	"75900.0"
"213"	"39.0"	"743.0"	"270.0"	"4.8611"	"456100.0"
"214"	"19.0"	"1866.0"	"811.0"	"3.1733"	"206300.0"
"215"	"29.0"	"1170.0"	"482.0"	"2.0677"	"214500.0"
"216"	"33.0"	"2248.0"	"588.0"	"1.4583"	"53000.0"
"217"	"21.0"	"1188.0"	"330.0"	"2.5"	"182100.0"
"218"	"29.0"	"1457.0"	"591.0"	"6.0553"	"369400.0"
"219"	"43.0"	"1895.0"	"493.0"	"2.5029"	"159700.0"
"220"	"46.0"	"726.0"	"386.0"	"2.9821"	"97000.0"
"221"	"46.0"	"7443.0"	"2406.0"	"1.8238"	"237500.0"
"222"	"48.0"	"1054.0"	"466.0"	"2.2625"	"132900.0"
"223"	"48.0"	"947.0"	"363.0"	"2.2827"	"70000.0"
"224"	"30.0"	"3668.0"	"855.0"	"2.5444"	"275000.0"
"225"	"19.0"	"658.0"	"41.0"	"0.9573"	"162500.0"
"226"	"22.0"	"611.0"	"235.0"	"2.3036"	"73000.0"
"227"	"18.0"	"871.0"	"399.0"	"2.6221"	"272000.0"
"228"	"3.0"	"990.0"	"316.0"	"5.4445"	"237600.0"
"229"	"16.0"	"2530.0"	"817.0"	"4.6786"	"256000.0"
"230"	"37.0"	"939.0"	"358.0"	"3.4634"	"145300.0"
"231"	"18.0"	"1682.0"	"480.0"	"5.8407"	"202900.0"
"232"	"41.0"	"793.0"	"264.0"	"2.5441"	"161200.0"
"233"	"37.0"	"1279.0"	"290.0"	"4.0083"	"142900.0"
"234"	"15.0"	"983.0"	"525.0"	"2.1935"	"183300.0"
"235"	"28.0"	"1582.0"	"778.0"	"3.5147"	"313900.0"
"236"	"35.0"	"157.0"	"61.0"	"2.8056"	"68100.0"
"237"	"45.0"	"479.0"	"161.0"	"3.0862"	"79000.0"
"238"	"38.0"	"1191.0"	"366.0"	"1.8801"	"57800.0"
"239"	"6.0"	"1769.0"	"580.0"	"3.1574"	"89200.0"
"240"	"16.0"	"690.0"	"224.0"	"6.5853"	"248400.0"
"241"	"24.0"	"3196.0"	"795.0"	"4.3512"	"191400.0"
"242"	"24.0"	"1076.0"	"380.0"	"5.8635"	"348700.0"
"243"	"34.0"	"2223.0"	"651.0"	"3.8239"	"208200.0"
"244"	"42.0"	"1605.0"	"545.0"	"1.721"	"214300.0"
"245"	"20.0"	"1427.0"	"394.0"	"4.4712"	"144000.0"
"246"	"5.0"	"1102.0"	"502.0"	"5.2642"	"246400.0"
"247"	"35.0"	"2255.0"	"682.0"	"3.0057"	"235300.0"
"248"	"21.0"	"875.0"	"354.0"	"1.7422"	"61500.0"
"249"	"36.0"	"1911.0"	"631.0"	"5.8491"	"247300.0"
"250"	"52.0"	"648.0"	"303.0"	"2.1202"	"155500.0"
"251"	"37.0"	"436.0"	"104.0"	"4.275"	"186200.0"
"252"	"38.0"	"921.0"	"247.0"	"4.4464"	"215400.0"
"253"	"17.0"	"1228.0"	"426.0"	"5.5872"	"200600.0"
"254"	"25.0"	"1560.0"	"502.0"	"5.8479"	"263300.0"
"255"	"13.0"	"1496.0"	"499.0"	"8.3818"	"377600.0"
"256"	"13.0"	"2759.0"	"760.0"	"6.868"	"337300.0"
"257"	"34.0"	"1066.0"	"424.0"	"1.6757"	"63300.0"
"258"	"36.0"	"1679.0"	"616.0"	"2.7256"	"71900.0"
"259"	"38.0"	"1786.0"	"340.0"	"2.131"	"136500.0"
"260"	"42.0"	"646.0"	"198.0"	"2.9063"	"80000.0"
"261"	"29.0"	"2319.0"	"823.0"	"4.9517"	"307900.0"
"262"	"35.0"	"2003.0"	"920.0"	"3.2708"	"400000.0"
"263"	"40.0"	"449.0"	"166.0"	"5.7143"	"382400.0"
"264"	"41.0"	"356.0"	"150.0"	"3.5625"	"115300.0"
"265"	"18.0"	"1618.0"	"509.0"	"4.6028"	"216800.0"
"266"	"15.0"	"1694.0"	"540.0"	"2.9541"	"106700.0"
"267"	"23.0"	"1984.0"	"707.0"	"4.8536"	"202600.0"
"268"	"52.0"	"918.0"	"483.0"	"2.7477"	"243800.0"
"269"	"24.0"	"508.0"	"253.0"	"1.642"	"32500.0"
"270"	"5.0"	"2602.0"	"1007.0"	"2.4012"	"159400.0"
"271"	"19.0"	"1252.0"	"409.0"	"12.2145"	"500001.0"
"272"	"32.0"	"498.0"	"201.0"	"9.3586"	"500001.0"
"273"	"34.0"	"2474.0"	"705.0"	"1.631"	"137500.0"
"274"	"14.0"	"2021.0"	"511.0"	"3.6467"	"147500.0"
"275"	"26.0"	"3001.0"	"1505.0"	"3.6572"	"213200.0"
"276"	"24.0"	"1681.0"	"590.0"	"3.5"	"113900.0"
"277"	"18.0"	"741.0"	"349.0"	"1.8672"	"84700.0"
"278"	"26.0"	"2381.0"	"819.0"	"7.9819"	"397000.0"
"279"	"21.0"	"1433.0"	"727.0"	"3.8732"	"252400.0"
"280"	"16.0"	"667.0"	"264.0"	"4.5221"	"191100.0"
"281"	"16.0"	"789.0"	"270.0"	"8.4112"	"286900.0"
"282"	"36.0"	"285.0"	"90.0"	"1.2292"	"69600.0"
"283"	"45.0"	"1341.0"	"562.0"	"4.5189"	"422200.0"
"284"	"37.0"	"1284.0"	"428.0"	"3.3958"	"130400.0"
"285"	"45.0"	"361.0"	"163.0"	"7.5"	"434500.0"
"286"	"46.0"	"866.0"	"360.0"	"3.3056"	"230400.0"
"287"	"31.0"	"619.0"	"250.0"	"2.9286"	"151800.0"
"288"	"43.0"	"1011.0"	"297.0"	"2.5917"	"144000.0"
"289"	"25.0"	"340.0"	"155.0"	"1.7857"	"258300.0"
"290"	"5.0"	"3139.0"	"1131.0"	"3.3608"	"108900.0"
"291"	"23.0"	"784.0"	"497.0"	"1.6038"	"194300.0"
"292"	"26.0"	"1062.0"	"380.0"	"5.5413"	"302100.0"
"293"	"15.0"	"406.0"	"151.0"	"3.1771"	"121900.0"
"294"	"35.0"	"945.0"	"333.0"	"5.5184"	"274800.0"
"295"	"34.0"	"1609.0"	"426.0"	"2.25"	"138500.0"
"296"	"11.0"	"820.0"	"405.0"	"2.3565"	"122300.0"
"297"	"33.0"	"1882.0"	"435.0"	"2.4071"	"170500.0"
"298"	"44.0"	"902.0"	"321.0"	"1.9556"	"93300.0"
"299"	"35.0"	"2134.0"	"743.0"	"5.7389"	"251800.0"
"300"	"18.0"	"3704.0"	"1216.0"	"4.25"	"169200.0"
"301"	"32.0"	"5459.0"	"2017.0"	"8.1657"	"500001.0"
"302"	"36.0"	"1315.0"	"478.0"	"4.0714"	"215600.0"
"303"	"47.0"	"637.0"	"212.0"	"2.0156"	"90300.0"
"304"	"42.0"	"481.0"	"163.0"	"5.6611"	"265600.0"
"305"	"14.0"	"3597.0"	"1274.0"	"4.2192"	"176100.0"
"306"	"34.0"	"1172.0"	"575.0"	"1.9722"	"116100.0"
"307"	"25.0"	"2166.0"	"774.0"	"3.1884"	"135400.0"
"308"	"19.0"	"1554.0"	"703.0"	"4.3281"	"220000.0"
"309"	"25.0"	"1045.0"	"419.0"	"2.6042"	"116700.0"
"310"	"17.0"	"2423.0"	"556.0"	"2.1977"	"154200.0"
"311"	"47.0"	"797.0"	"342.0"	"3.5848"	"140800.0"
"312"	"32.0"	"2309.0"	"956.0"	"2.2165"	"231700.0"
"313"	"13.0"	"2244.0"	"1219.0"	"1.9093"	"142900.0"
"314"	"36.0"	"410.0"	"117.0"	"3.3942"	"147200.0"
"315"	"37.0"	"63.0"	"17.0"	"9.5908"	"350000.0"
"316"	"12.0"	"5781.0"	"2007.0"	"7.2634"	"341600.0"
"317"	"31.0"	"1187.0"	"357.0"	"3.8875"	"129200.0"
"318"	"28.0"	"545.0"	"154.0"	"2.4167"	"191700.0"
"319"	"26.0"	"1290.0"	"394.0"	"5.6677"	"220700.0"
"320"	"33.0"	"724.0"	"235.0"	"3.4028"	"110500.0"
"321"	"24.0"	"3985.0"	"1240.0"	"2.6884"	"204600.0"
"322"	"41.0"	"973.0"	"406.0"	"3.0568"	"85600.0"
"323"	"26.0"	"886.0"	"289.0"	"5.0855"	"232200.0"
"324"	"15.0"	"2410.0"	"666.0"	"5.4824"	"179700.0"
"325"	"51.0"	"709.0"	"298.0"	"3.575"	"125500.0"
"326"	"35.0"	"1155.0"	"353.0"	"3.069"	"69600.0"
"327"	"33.0"	"1519.0"	"549.0"	"4.5594"	"204200.0"
"328"	"17.0"	"1859.0"	"713.0"	"2.9811"	"231800.0"
"329"	"16.0"	"1938.0"	"658.0"	"4.6324"	"183600.0"
"330"	"52.0"	"831.0"	"433.0"	"4.4464"	"500001.0"
"331"	"26.0"	"974.0"	"375.0"	"4.739"	"184100.0"
"332"	"52.0"	"1202.0"	"568.0"	"3.8899"	"348500.0"
"333"	"25.0"	"2178.0"	"650.0"	"5.1663"	"241200.0"
"334"	"34.0"	"1181.0"	"426.0"	"3.0208"	"129200.0"
"335"	"52.0"	"1260.0"	"614.0"	"4.7437"	"331000.0"
"336"	"28.0"	"1167.0"	"391.0"	"3.0592"	"152800.0"
"337"	"32.0"	"1156.0"	"410.0"	"5.2497"	"259300.0"
"338"	"37.0"	"825.0"	"334.0"	"4.0603"	"225200.0"
"339"	"15.0"	"943.0"	"274.0"	"5.9339"	"286000.0"
"340"	"24.0"	"2174.0"	"859.0"	"2.2244"	"114900.0"
"341"	"10.0"	"1376.0"	"337.0"	"1.9911"	"67500.0"
"342"	"18.0"	"1048.0"	"315.0"	"6.9308"	"231700.0"
"343"	"31.0"	"1135.0"	"434.0"	"4.45"	"267900.0"
"344"	"42.0"	"2062.0"	"616.0"	"3.5341"	"167500.0"
"345"	"18.0"	"856.0"	"293.0"	"3.5046"	"118300.0"
"346"	"47.0"	"1119.0"	"315.0"	"4.2672"	"219400.0"
"347"	"21.0"	"1094.0"	"353.0"	"4.6648"	"193000.0"
"348"	"21.0"	"863.0"	"255.0"	"4.5833"	"500001.0"
"349"	"35.0"	"759.0"	"291.0"	"6.0808"	"215600.0"
"350"	"30.0"	"1126.0"	"301.0"	"4.983"	"166700.0"
"351"	"30.0"	"1777.0"	"718.0"	"3.6393"	"184000.0"
"352"	"24.0"	"1912.0"	"593.0"	"5.7951"	"226900.0"
"353"	"37.0"	"889.0"	"271.0"	"4.3542"	"179800.0"
"354"	"46.0"	"793.0"	"256.0"	"4.1023"	"226800.0"
"355"	"25.0"	"1841.0"	"633.0"	"2.6768"	"82400.0"
"356"	"28.0"	"1795.0"	"581.0"	"7.8383"	"372700.0"
"357"	"35.0"	"1505.0"	"366.0"	"4.1667"	"151900.0"
"358"	"52.0"	"346.0"	"155.0"	"0.8075"	"137500.0"
"359"	"40.0"	"643.0"	"341.0"	"5.5164"	"369100.0"
"360"	"16.0"	"1555.0"	"560.0"	"1.7217"	"175000.0"
"361"	"21.0"	"2133.0"	"634.0"	"5.6949"	"235300.0"
"362"	"6.0"	"66.0"	"21.0"	"3.125"	"65000.0"
"363"	"33.0"	"753.0"	"298.0"	"2.6591"	"183800.0"
"364"	"21.0"	"1260.0"	"576.0"	"2.0227"	"179800.0"
"365"	"33.0"	"1565.0"	"618.0"	"2.7321"	"76500.0"
"366"	"19.0"	"1855.0"	"621.0"	"2.3111"	"255400.0"
"367"	"36.0"	"683.0"	"260.0"	"4.0982"	"171200.0"
"368"	"35.0"	"1008.0"	"346.0"	"5.4791"	"285900.0"
"369"	"29.0"	"1063.0"	"386.0"	"1.8929"	"63600.0"
"370"	"47.0"	"1044.0"	"282.0"	"9.459"	"500001.0"
"371"	"21.0"	"1420.0"	"608.0"	"4.4485"	"295200.0"
"372"	"29.0"	"1760.0"	"699.0"	"2.7028"	"92000.0"
"373"	"32.0"	"489.0"	"168.0"	"2.785"	"169300.0"
"374"	"6.0"	"910.0"	"364.0"	"5.215"	"279500.0"
"375"	"20.0"	"1024.0"	"399.0"	"2.4554"	"89400.0"
"376"	"36.0"	"15.0"	"6.0"	"0.4999"	"162500.0"
"377"	"36.0"	"846.0"	"306.0"	"3.5852"	"121600.0"
"378"	"34.0"	"1233.0"	"405.0"	"5.6935"	"218300.0"
"379"	"6.0"	"4571.0"	"1926.0"	"4.7195"	"199300.0"
"380"	"5.0"	"825.0"	"339.0"	"5.0509"	"184800.0"
