"id"	"housing_median_age"	"households"	"median_income"	"median_house_value"
"64"	"15.0"	"5719.0"	"3.7932"	"210300.0"
"65"	"29.0"	"5644.0"	"5.6403"	"233000.0"
"66"	"24.0"	"5377.0"	"1.6368"	"91200.0"
"67"	"16.0"	"5740.0"	"6.9909"	"345300.0"
"68"	"34.0"	"5975.0"	"2.2583"	"78800.0"
"69"	"32.0"	"5652.0"	"6.2742"	"241300.0"
"70"	"33.0"	"5792.0"	"3.215"	"104600.0"
"71"	"28.0"	"5220.0"	"2.9406"	"73000.0"
"72"	"39.0"	"5411.0"	"4.8266"	"146200.0"
"73"	"12.0"	"5726.0"	"5.6493"	"422400.0"
"74"	"16.0"	"5237.0"	"6.1043"	"343500.0"
"75"	"0.0"	"5920.0"	"3.3542"	"178100.0"
"76"	"33.0"	"5615.0"	"3.4952"	"150000.0"
"77"	"41.0"	"5746.0"	"0.8702"	"170500.0"
"78"	"12.0"	"5922.0"	"4.8375"	"217400.0"
"79"	"23.0"	"5816.0"	"4.125"	"150000.0"
"80"	"26.0"	"5757.0"	"5.5"	"231700.0"
"81"	"0.0"	"5610.0"	"5.0196"	"324300.0"
"82"	"11.0"	"5902.0"	"3.3333"	"115100.0"
"83"	"17.0"	"5891.0"	"2.8906"	"134800.0"
"84"	"37.0"	"5666.0"	"11.1121"	"493000.0"
"85"	"16.0"	"5296.0"	"2.5434"	"67300.0"
"86"	"21.0"	"5453.0"	"1.5479"	"82000.0"
"87"	"32.0"	"5368.0"	"4.4063"	"130800.0"
"88"	"32.0"	"5561.0"	"1.4007"	"97500.0"
"89"	"26.0"	"5686.0"	"5.3922"	"353700.0"
"90"	"37.0"	"5805.0"	"5.3886"	"125300.0"
"91"	"8.0"	"5627.0"	"1.9125"	"97200.0"
"92"	"17.0"	"5765.0"	"2.6818"	"159400.0"
"93"	"6.0"	"5707.0"	"2.8036"	"211600.0"
"94"	"31.0"	"5522.0"	"9.3834"	"500001.0"
"95"	"22.0"	"5856.0"	"2.3375"	"154200.0"
"96"	"10.0"	"5537.0"	"1.721"	"214300.0"
"97"	"26.0"	"5846.0"	"2.6591"	"180500.0"
"98"	"4.0"	"5726.0"	"1.6581"	"118800.0"
"99"	"17.0"	"5663.0"	"3.4583"	"253200.0"
"100"	"15.0"	"5809.0"	"1.6333"	"94500.0"
"101"	"15.0"	"5685.0"	"2.3023"	"91900.0"
"102"	"36.0"	"5607.0"	"4.8906"	"178500.0"
"103"	"39.0"	"5682.0"	"2.2903"	"106300.0"
"104"	"10.0"	"5985.0"	"2.8854"	"55700.0"
"105"	"17.0"	"5747.0"	"5.3738"	"365100.0"
"106"	"0.0"	"5935.0"	"1.2292"	"137500.0"
"107"	"3.0"	"5843.0"	"2.4597"	"93800.0"
"108"	"26.0"	"5796.0"	"1.3676"	"47800.0"
"109"	"35.0"	"5886.0"	"2.1538"	"153300.0"
"110"	"32.0"	"5813.0"	"1.3386"	"63000.0"
"111"	"30.0"	"5464.0"	"2.7153"	"114300.0"
"112"	"18.0"	"5758.0"	"3.4211"	"141100.0"
"113"	"19.0"	"5711.0"	"2.8438"	"157600.0"
"114"	"11.0"	"5863.0"	"2.0224"	"64900.0"
"115"	"41.0"	"5695.0"	"3.8203"	"139700.0"
"116"	"17.0"	"5817.0"	"4.0156"	"500001.0"
"117"	"9.0"	"5785.0"	"2.5917"	"144000.0"
"118"	"25.0"	"5659.0"	"2.9937"	"81100.0"
"119"	"44.0"	"4868.0"	"1.7567"	"69500.0"
"120"	"30.0"	"5588.0"	"2.0213"	"110600.0"
"121"	"22.0"	"5883.0"	"3.4297"	"112500.0"
"122"	"35.0"	"5852.0"	"3.2174"	"91800.0"
"123"	"17.0"	"5684.0"	"1.6786"	"56500.0"
"124"	"17.0"	"5573.0"	"3.3043"	"155500.0"
"125"	"21.0"	"5125.0"	"2.4049"	"159000.0"
"126"	"18.0"	"5431.0"	"3.8239"	"208200.0"
"127"	"17.0"	"5943.0"	"3.6969"	"335000.0"
"128"	"27.0"	"5720.0"	"1.881"	"52500.0"
"129"	"4.0"	"5798.0"	"3.6118"	"235500.0"
"130"	"19.0"	"5716.0"	"4.0833"	"162500.0"
"131"	"4.0"	"5750.0"	"0.8056"	"84400.0"
"132"	"26.0"	"5330.0"	"1.5908"	"78600.0"
"133"	"27.0"	"5703.0"	"5.0049"	"460000.0"
"134"	"25.0"	"5519.0"	"6.632"	"441100.0"
"135"	"7.0"	"5946.0"	"2.125"	"62000.0"
"136"	"16.0"	"5874.0"	"1.4427"	"50600.0"
"137"	"21.0"	"5780.0"	"3.875"	"183900.0"
"138"	"3.0"	"5642.0"	"3.0319"	"162800.0"
"139"	"27.0"	"4528.0"	"2.6998"	"216100.0"
"140"	"19.0"	"5706.0"	"3.6125"	"170800.0"
"141"	"22.0"	"5295.0"	"3.0329"	"207800.0"
"142"	"24.0"	"5197.0"	"4.9384"	"378100.0"
"143"	"28.0"	"5640.0"	"6.5987"	"272800.0"
"144"	"15.0"	"5751.0"	"4.0"	"273700.0"
"145"	"18.0"	"5833.0"	"3.9167"	"189500.0"
"146"	"13.0"	"5752.0"	"4.5735"	"195500.0"
"147"	"48.0"	"5691.0"	"3.6437"	"210100.0"
"148"	"16.0"	"5627.0"	"3.3009"	"168000.0"
"149"	"34.0"	"6007.0"	"2.0313"	"112500.0"
"150"	"34.0"	"5501.0"	"2.6452"	"154200.0"
"151"	"26.0"	"6069.0"	"0.536"	"87500.0"
"152"	"10.0"	"5556.0"	"1.9167"	"136400.0"
"153"	"24.0"	"5201.0"	"2.1603"	"111300.0"
"154"	"29.0"	"5885.0"	"2.3598"	"57500.0"
"155"	"32.0"	"5082.0"	"5.2138"	"233100.0"
"156"	"15.0"	"5776.0"	"3.6583"	"150500.0"
"157"	"39.0"	"5864.0"	"4.6394"	"226500.0"
"158"	"42.0"	"5585.0"	"2.5035"	"112500.0"
"159"	"29.0"	"5014.0"	"3.0125"	"181700.0"
"160"	"38.0"	"5899.0"	"4.4306"	"170100.0"
"161"	"47.0"	"5873.0"	"6.6779"	"223900.0"
"162"	"21.0"	"5760.0"	"2.6974"	"165400.0"
"163"	"44.0"	"5510.0"	"3.6335"	"131600.0"
"164"	"19.0"	"5707.0"	"2.587"	"138100.0"
"165"	"16.0"	"5235.0"	"1.6521"	"69700.0"
"166"	"30.0"	"5641.0"	"5.8505"	"417100.0"
"167"	"22.0"	"5663.0"	"6.3434"	"460400.0"
"168"	"35.0"	"5363.0"	"2.6979"	"75000.0"
"169"	"18.0"	"5643.0"	"1.5972"	"168800.0"
"170"	"19.0"	"5711.0"	"4.5461"	"213800.0"
"171"	"0.0"	"5397.0"	"4.038"	"500001.0"
"172"	"3.0"	"5757.0"	"2.875"	"225000.0"
"173"	"32.0"	"5562.0"	"2.2599"	"157600.0"
"174"	"0.0"	"5761.0"	"3.4625"	"173900.0"
"175"	"18.0"	"5550.0"	"4.7083"	"205300.0"
"176"	"7.0"	"5683.0"	"3.4839"	"180600.0"
"177"	"22.0"	"5360.0"	"4.2227"	"134400.0"
"178"	"22.0"	"5771.0"	"2.2449"	"93200.0"
"179"	"0.0"	"5889.0"	"4.0368"	"269700.0"
"180"	"7.0"	"5764.0"	"4.9013"	"330100.0"
"181"	"24.0"	"5233.0"	"3.0293"	"241700.0"
"182"	"35.0"	"5546.0"	"3.8952"	"95300.0"
"183"	"8.0"	"5756.0"	"3.875"	"412500.0"
"184"	"16.0"	"5637.0"	"6.0088"	"245900.0"
"185"	"45.0"	"5637.0"	"3.3553"	"132200.0"
"186"	"24.0"	"5519.0"	"2.2"	"127700.0"
"187"	"23.0"	"5338.0"	"5.1097"	"288000.0"
"188"	"35.0"	"4333.0"	"2.2423"	"132600.0"
"189"	"18.0"	"5660.0"	"1.6571"	"105200.0"
"190"	"22.0"	"5389.0"	"3.3827"	"292100.0"
"191"	"24.0"	"5318.0"	"2.582"	"181800.0"
"192"	"17.0"	"5420.0"	"2.5444"	"236100.0"
"193"	"10.0"	"5720.0"	"3.099"	"335400.0"
"194"	"12.0"	"5790.0"	"2.6354"	"151800.0"
"195"	"27.0"	"5454.0"	"2.3"	"164200.0"
"196"	"36.0"	"5410.0"	"5.1473"	"188400.0"
"197"	"41.0"	"5752.0"	"2.8889"	"153100.0"
"198"	"9.0"	"5770.0"	"5.2606"	"198900.0"
"199"	"30.0"	"5150.0"	"4.7332"	"289900.0"
"200"	"22.0"	"5802.0"	"1.8664"	"107800.0"
"201"	"3.0"	"5697.0"	"2.8301"	"171600.0"
"202"	"35.0"	"5189.0"	"1.077"	"115000.0"
"203"	"18.0"	"5768.0"	"2.7039"	"106300.0"
"204"	"18.0"	"5547.0"	"3.2338"	"101800.0"
"205"	"31.0"	"5578.0"	"1.7756"	"62900.0"
"206"	"23.0"	"5695.0"	"3.0833"	"87000.0"
"207"	"25.0"	"5817.0"	"0.9687"	"105800.0"
"208"	"0.0"	"5787.0"	"2.7139"	"164900.0"
"209"	"23.0"	"5756.0"	"4.8098"	"325400.0"
"210"	"6.0"	"5868.0"	"3.2813"	"190900.0"
"211"	"19.0"	"5293.0"	"4.05"	"134700.0"
"212"	"18.0"	"5816.0"	"1.7917"	"80000.0"
"213"	"0.0"	"5734.0"	"5.2909"	"500001.0"
"214"	"32.0"	"5629.0"	"2.1806"	"180000.0"
"215"	"6.0"	"5643.0"	"3.7344"	"222000.0"
"216"	"22.0"	"5592.0"	"2.6146"	"159400.0"
"217"	"45.0"	"5178.0"	"3.1042"	"122500.0"
"218"	"34.0"	"5856.0"	"3.4028"	"67500.0"
"219"	"19.0"	"5597.0"	"4.8304"	"224900.0"
"220"	"0.0"	"5376.0"	"2.2462"	"62900.0"
"221"	"27.0"	"5654.0"	"2.7601"	"72500.0"
"222"	"32.0"	"5757.0"	"3.5486"	"193800.0"
"223"	"10.0"	"5978.0"	"2.1667"	"196400.0"
"224"	"29.0"	"5744.0"	"10.5142"	"500001.0"
"225"	"23.0"	"5637.0"	"8.093"	"379600.0"
"226"	"35.0"	"5480.0"	"5.2166"	"230900.0"
"227"	"0.0"	"5794.0"	"7.8864"	"357300.0"
"228"	"35.0"	"5648.0"	"2.71"	"97800.0"
"229"	"8.0"	"6043.0"	"4.35"	"68300.0"
"230"	"7.0"	"5754.0"	"3.875"	"390800.0"
"231"	"19.0"	"5854.0"	"3.375"	"147500.0"
"232"	"6.0"	"5872.0"	"4.9312"	"240200.0"
"233"	"10.0"	"5863.0"	"6.8564"	"300000.0"
"234"	"30.0"	"5887.0"	"6.2708"	"251400.0"
"235"	"19.0"	"5702.0"	"3.5978"	"88300.0"
"236"	"0.0"	"5701.0"	"3.3348"	"122800.0"
"237"	"16.0"	"5781.0"	"1.55"	"100000.0"
"238"	"0.0"	"6020.0"	"0.4999"	"82500.0"
"239"	"35.0"	"5390.0"	"5.6876"	"246500.0"
"240"	"20.0"	"5873.0"	"2.7292"	"143800.0"
"241"	"24.0"	"5704.0"	"4.504"	"204300.0"
"242"	"11.0"	"5756.0"	"3.2976"	"151200.0"
"243"	"17.0"	"5752.0"	"1.9509"	"70200.0"
"244"	"31.0"	"5686.0"	"3.6597"	"195100.0"
"245"	"10.0"	"5892.0"	"12.8483"	"500001.0"
"246"	"0.0"	"5611.0"	"4.0855"	"410800.0"
"247"	"0.0"	"5748.0"	"5.0"	"264700.0"
"248"	"36.0"	"5506.0"	"4.2969"	"151200.0"
"249"	"48.0"	"4984.0"	"4.1775"	"143700.0"
"250"	"44.0"	"5908.0"	"2.4886"	"137500.0"
"251"	"17.0"	"5533.0"	"3.788"	"136800.0"
"252"	"10.0"	"5810.0"	"1.983"	"63300.0"
"253"	"0.0"	"5776.0"	"2.0577"	"214600.0"
"254"	"50.0"	"5483.0"	"6.8279"	"279000.0"
"255"	"1.0"	"5784.0"	"3.575"	"125500.0"
"256"	"31.0"	"5506.0"	"4.2356"	"347700.0"
"257"	"12.0"	"5558.0"	"2.1437"	"94800.0"
"258"	"11.0"	"5792.0"	"2.0817"	"132500.0"
"259"	"20.0"	"5686.0"	"4.1587"	"315200.0"
"260"	"39.0"	"5779.0"	"9.8346"	"401700.0"
"261"	"23.0"	"5341.0"	"2.595"	"104200.0"
"262"	"29.0"	"5407.0"	"3.8703"	"137000.0"
"263"	"36.0"	"5414.0"	"3.2405"	"85500.0"
"264"	"8.0"	"5907.0"	"2.875"	"61500.0"
"265"	"25.0"	"5358.0"	"3.2891"	"150600.0"
"266"	"3.0"	"5822.0"	"4.3452"	"260100.0"
"267"	"30.0"	"5494.0"	"4.645"	"276200.0"
"268"	"47.0"	"5911.0"	"4.5833"	"230400.0"
"269"	"34.0"	"5184.0"	"2.119"	"133100.0"
"270"	"28.0"	"5444.0"	"4.6458"	"213400.0"
"271"	"24.0"	"5360.0"	"3.5667"	"190700.0"
"272"	"39.0"	"5895.0"	"4.5903"	"94300.0"
"273"	"40.0"	"5664.0"	"6.5412"	"254200.0"
"274"	"18.0"	"5567.0"	"5.061"	"218000.0"
"275"	"7.0"	"5733.0"	"2.7159"	"101400.0"
"276"	"4.0"	"5624.0"	"2.2232"	"162500.0"
"277"	"11.0"	"5823.0"	"2.3578"	"166700.0"
"278"	"8.0"	"5745.0"	"6.3467"	"352700.0"
"279"	"35.0"	"5754.0"	"2.1607"	"61400.0"
"280"	"34.0"	"4734.0"	"3.855"	"243800.0"
"281"	"8.0"	"5703.0"	"4.652"	"387100.0"
"282"	"27.0"	"4310.0"	"2.506"	"184500.0"
"283"	"35.0"	"5383.0"	"1.9439"	"177700.0"
"284"	"18.0"	"5810.0"	"3.692"	"172600.0"
"285"	"41.0"	"5355.0"	"3.1062"	"141000.0"
"286"	"35.0"	"5710.0"	"4.5272"	"191700.0"
"287"	"36.0"	"5514.0"	"5.5073"	"178900.0"
"288"	"23.0"	"5423.0"	"1.9286"	"195300.0"
"289"	"33.0"	"5692.0"	"5.0176"	"274200.0"
"290"	"0.0"	"5800.0"	"1.5594"	"87500.0"
"291"	"10.0"	"5693.0"	"3.0114"	"157500.0"
"292"	"18.0"	"5792.0"	"3.7011"	"99500.0"
"293"	"36.0"	"5805.0"	"4.8526"	"170700.0"
"294"	"7.0"	"5682.0"	"4.9674"	"320100.0"
"295"	"28.0"	"5815.0"	"1.947"	"68900.0"
"296"	"50.0"	"5825.0"	"4.375"	"425000.0"
"297"	"43.0"	"6053.0"	"2.7639"	"112500.0"
"298"	"16.0"	"5788.0"	"4.6875"	"250700.0"
"299"	"46.0"	"4601.0"	"5.1442"	"174500.0"
"300"	"17.0"	"5896.0"	"4.125"	"189200.0"
"301"	"34.0"	"5538.0"	"6.4598"	"282700.0"
"302"	"22.0"	"5610.0"	"4.0061"	"182900.0"
"303"	"13.0"	"5557.0"	"3.07"	"173000.0"
"304"	"20.0"	"5349.0"	"4.2667"	"410200.0"
"305"	"19.0"	"5695.0"	"9.267"	"500001.0"
"306"	"43.0"	"5804.0"	"3.0184"	"87900.0"
"307"	"32.0"	"5617.0"	"2.7647"	"163000.0"
"308"	"35.0"	"5968.0"	"5.5762"	"150000.0"
"309"	"10.0"	"5801.0"	"5.1386"	"404500.0"
"310"	"28.0"	"5572.0"	"2.9222"	"242600.0"
"311"	"26.0"	"5874.0"	"2.625"	"80600.0"
"312"	"24.0"	"5725.0"	"1.0801"	"75000.0"
"313"	"28.0"	"5272.0"	"3.0526"	"183300.0"
"314"	"0.0"	"5673.0"	"3.5909"	"331200.0"
"315"	"0.0"	"5349.0"	"3.6031"	"275000.0"
"316"	"21.0"	"5951.0"	"1.8173"	"154200.0"
"317"	"27.0"	"5459.0"	"3.3281"	"180800.0"
"318"	"16.0"	"5648.0"	"4.5486"	"361000.0"
"319"	"10.0"	"5716.0"	"1.7135"	"159800.0"
"320"	"35.0"	"5530.0"	"3.9531"	"178600.0"
"321"	"19.0"	"5797.0"	"4.0804"	"239000.0"
"322"	"33.0"	"5351.0"	"2.2234"	"181300.0"
"323"	"27.0"	"5529.0"	"2.8964"	"104300.0"
"324"	"17.0"	"5649.0"	"5.5456"	"297400.0"
"325"	"8.0"	"5699.0"	"4.1406"	"274100.0"
"326"	"19.0"	"5601.0"	"3.4492"	"264300.0"
"327"	"2.0"	"5814.0"	"3.9632"	"240000.0"
"328"	"10.0"	"5783.0"	"4.9"	"406300.0"
"329"	"15.0"	"5840.0"	"3.117"	"164600.0"
"330"	"21.0"	"5583.0"	"3.1563"	"267000.0"
"331"	"9.0"	"5971.0"	"1.6"	"79400.0"
"332"	"30.0"	"4984.0"	"1.9375"	"65300.0"
"333"	"22.0"	"5434.0"	"2.8614"	"145200.0"
"334"	"29.0"	"5460.0"	"3.5484"	"238000.0"
"335"	"36.0"	"5680.0"	"6.8806"	"343500.0"
"336"	"36.0"	"5901.0"	"2.1875"	"76400.0"
"337"	"25.0"	"5863.0"	"5.9346"	"253600.0"
"338"	"14.0"	"6030.0"	"1.3906"	"120800.0"
"339"	"15.0"	"5786.0"	"2.5"	"162000.0"
"340"	"17.0"	"5739.0"	"1.75"	"57600.0"
"341"	"36.0"	"5850.0"	"2.3462"	"75000.0"
"342"	"32.0"	"5762.0"	"3.8958"	"126800.0"
"343"	"35.0"	"5621.0"	"2.267"	"57800.0"
"344"	"20.0"	"5427.0"	"2.1781"	"174500.0"
"345"	"24.0"	"5319.0"	"2.9821"	"118700.0"
"346"	"0.0"	"5871.0"	"6.1309"	"411600.0"
"347"	"12.0"	"5387.0"	"3.5637"	"497400.0"
"348"	"27.0"	"5778.0"	"2.4688"	"126800.0"
"349"	"44.0"	"5873.0"	"2.724"	"139300.0"
"350"	"15.0"	"5834.0"	"1.5132"	"86300.0"
"351"	"17.0"	"5527.0"	"5.7295"	"346100.0"
"352"	"11.0"	"5778.0"	"4.4167"	"215200.0"
"353"	"28.0"	"5679.0"	"4.5167"	"265200.0"
"354"	"48.0"	"3470.0"	"3.7568"	"184100.0"
"355"	"40.0"	"5547.0"	"1.4191"	"55100.0"
"356"	"31.0"	"5845.0"	"4.65"	"152500.0"
"357"	"18.0"	"5945.0"	"3.0687"	"88500.0"
"358"	"20.0"	"5531.0"	"2.2974"	"84500.0"
"359"	"9.0"	"5894.0"	"1.2315"	"98200.0"
"360"	"9.0"	"5029.0"	"2.975"	"243400.0"
"361"	"39.0"	"6050.0"	"3.5667"	"115600.0"
"362"	"0.0"	"5633.0"	"2.2069"	"226500.0"
"363"	"23.0"	"5380.0"	"3.1349"	"230200.0"
"364"	"16.0"	"5517.0"	"5.2083"	"220900.0"
"365"	"33.0"	"4487.0"	"5.997"	"228700.0"
"366"	"39.0"	"5903.0"	"1.9107"	"155700.0"
"367"	"10.0"	"5653.0"	"2.5179"	"97400.0"
"368"	"26.0"	"5581.0"	"5.1582"	"194700.0"
"369"	"27.0"	"5856.0"	"2.6607"	"90400.0"
"370"	"35.0"	"5012.0"	"5.0962"	"238000.0"
"371"	"14.0"	"5088.0"	"2.2148"	"438300.0"
"372"	"10.0"	"5710.0"	"2.9423"	"200000.0"
"373"	"28.0"	"4999.0"	"3.0977"	"264000.0"
"374"	"27.0"	"5546.0"	"4.8304"	"228900.0"
"375"	"19.0"	"5747.0"	"3.1397"	"166800.0"
"376"	"5.0"	"5966.0"	"8.4375"	"500001.0"
"377"	"7.0"	"5718.0"	"4.6406"	"268900.0"
"378"	"26.0"	"5886.0"	"2.7721"	"155400.0"
"379"	"31.0"	"5723.0"	"4.517"	"152200.0"
"380"	"37.0"	"5735.0"	"5.5248"	"235600.0"
"381"	"24.0"	"4742.0"	"2.5885"	"159000.0"
"382"	"20.0"	"5435.0"	"4.0444"	"129200.0"
"383"	"27.0"	"5723.0"	"1.6812"	"47700.0"
"384"	"47.0"	"5591.0"	"3.0"	"71000.0"
"385"	"21.0"	"5482.0"	"2.3125"	"62100.0"
"386"	"33.0"	"4744.0"	"5.6396"	"430300.0"
"387"	"26.0"	"5722.0"	"3.6429"	"159700.0"
"388"	"16.0"	"5913.0"	"2.625"	"210000.0"
"389"	"37.0"	"4664.0"	"2.8139"	"90400.0"
"390"	"24.0"	"5711.0"	"1.9962"	"50800.0"
"391"	"21.0"	"5660.0"	"3.0294"	"70200.0"
"392"	"19.0"	"5292.0"	"2.6268"	"201300.0"
"393"	"39.0"	"5865.0"	"8.7059"	"329400.0"
"394"	"18.0"	"5919.0"	"5.2769"	"241100.0"
"395"	"4.0"	"5576.0"	"3.5208"	"134200.0"
"396"	"8.0"	"5845.0"	"4.9375"	"365200.0"
"397"	"42.0"	"4840.0"	"6.5261"	"324700.0"
"398"	"12.0"	"5624.0"	"3.7969"	"202800.0"
"399"	"13.0"	"5817.0"	"1.7212"	"95500.0"
"400"	"34.0"	"5799.0"	"4.2383"	"239000.0"
"401"	"0.0"	"5872.0"	"3.0769"	"230900.0"
"402"	"34.0"	"5736.0"	"7.1978"	"288000.0"
"403"	"36.0"	"5695.0"	"5.7676"	"241300.0"
"404"	"36.0"	"5567.0"	"4.2051"	"190300.0"
"405"	"13.0"	"6030.0"	"0.716"	"104200.0"
"406"	"37.0"	"5746.0"	"3.8333"	"118800.0"
"407"	"15.0"	"5606.0"	"2.137"	"126600.0"
"408"	"37.0"	"5323.0"	"5.6549"	"301900.0"
"409"	"0.0"	"5875.0"	"1.8287"	"146900.0"
"410"	"36.0"	"5834.0"	"5.7115"	"313900.0"
"411"	"28.0"	"5349.0"	"4.7986"	"236500.0"
"412"	"9.0"	"5544.0"	"2.675"	"247900.0"
"413"	"16.0"	"5820.0"	"3.1667"	"122900.0"
"414"	"35.0"	"5552.0"	"3.2234"	"82000.0"
"415"	"32.0"	"5646.0"	"4.6875"	"288900.0"
"416"	"39.0"	"5885.0"	"3.1471"	"102800.0"
"417"	"14.0"	"5743.0"	"3.6196"	"170700.0"
"418"	"17.0"	"5737.0"	"5.0818"	"186800.0"
"419"	"18.0"	"5579.0"	"7.1221"	"384500.0"
"420"	"17.0"	"5753.0"	"2.5719"	"74300.0"
"421"	"28.0"	"5787.0"	"2.4821"	"157200.0"
"422"	"37.0"	"4815.0"	"3.875"	"173300.0"
"423"	"18.0"	"5383.0"	"2.5985"	"168600.0"
"424"	"23.0"	"6009.0"	"1.5313"	"43800.0"
"425"	"32.0"	"5908.0"	"3.087"	"196900.0"
"426"	"2.0"	"5812.0"	"2.2097"	"258300.0"
"427"	"20.0"	"5938.0"	"2.5156"	"86300.0"
"428"	"21.0"	"5646.0"	"1.5714"	"56100.0"
"429"	"18.0"	"6067.0"	"4.625"	"162500.0"
"430"	"24.0"	"5542.0"	"4.6"	"223200.0"
"431"	"25.0"	"5897.0"	"1.9531"	"100800.0"
"432"	"6.0"	"5928.0"	"2.925"	"142900.0"
"433"	"29.0"	"5819.0"	"4.7422"	"202400.0"
"434"	"17.0"	"5932.0"	"5.0077"	"185000.0"
"435"	"17.0"	"5786.0"	"2.3913"	"198800.0"
"436"	"26.0"	"5712.0"	"1.9741"	"97900.0"
"437"	"22.0"	"5868.0"	"3.0509"	"82700.0"
"438"	"16.0"	"5689.0"	"2.6953"	"121000.0"
"439"	"0.0"	"5605.0"	"4.3393"	"317600.0"
"440"	"42.0"	"5725.0"	"3.7679"	"131300.0"
"441"	"20.0"	"5721.0"	"2.4263"	"158100.0"
"442"	"24.0"	"5201.0"	"4.8508"	"215900.0"
"443"	"13.0"	"5768.0"	"4.1125"	"183000.0"
"444"	"3.0"	"5661.0"	"1.7568"	"93800.0"
"445"	"0.0"	"5940.0"	"3.4327"	"254500.0"
"446"	"23.0"	"5851.0"	"3.4643"	"125000.0"
"447"	"21.0"	"5801.0"	"1.6563"	"65800.0"
"448"	"33.0"	"5528.0"	"3.775"	"168000.0"
"449"	"31.0"	"5729.0"	"1.7245"	"92200.0"
"450"	"35.0"	"5698.0"	"4.6484"	"270600.0"
"451"	"16.0"	"5858.0"	"2.6307"	"66400.0"
"452"	"48.0"	"5977.0"	"3.9205"	"183000.0"
